ean;supplier;brand;catalog_code;collection;season;article_number;article_number_2;article_number_3;size_name;currency;price_buy_gross;price_buy_net;discount_rate;price_sell;material;target_area;size;article_structure;color
8719245200978;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;15189-02;15189-02 Aviation Nero;Aviation;38;EUR;;58.5;;139.95;Aviation;Woman Shoes;;;Nero
8719245200985;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;15189-02;15189-02 Aviation Nero;Aviation;39;EUR;;58.5;;139.95;Aviation;Woman Shoes;;;Nero
8719245200954;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;15189-02;15189-02 Aviation Nero;Aviation;36;EUR;;58.5;;139.95;Aviation;Woman Shoes;European size 36;;Nero
8719245200992;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;15189-02;15189-02 Aviation Nero;Aviation;40;EUR;;58.5;;139.95;Aviation;Woman Shoes;;;Nero
8719245200961;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;15189-02;15189-02 Aviation Nero;Aviation;37;EUR;;58.5;;139.95;Aviation;Woman Shoes;;;Nero
8719245201012;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;15189-02;15189-02 Aviation Nero;Aviation;42;EUR;;58.5;;139.95;Aviation;Woman Shoes;;;Nero
8719245201005;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;15189-02;15189-02 Aviation Nero;Aviation;41;EUR;;58.5;;139.95;Aviation;Woman Shoes;;;Nero
8719245231637;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;15189-02;15189-02 Mojito Bosco Nero;Mojito;40;EUR;;62.5;;149.95;Mojito;Woman Shoes;;;
8719245231606;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;15189-02;15189-02 Mojito Bosco Nero;Mojito;37;EUR;;62.5;;149.95;Mojito;Woman Shoes;;;
8719245231590;Rupesco BV;Via Vai;;Winter Collection 2017/2018;Winter;15189-02;15189-02 Mojito Bosco Nero;Mojito;36;EUR;;62.5;;149.95;Mojito;Woman Shoes;European size 36;;
