ean;supplier;brand;catalog_code;collection;season;article_structure_code;article_number;article_number_2;article_number_3;color_code;size_group_code;size_code;size_name;currency;price_buy_gross;price_buy_net;discount_rate;price_sell;material;target_area
8719245200978;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Aviation Nero;Aviation;1;EU;38;38;EUR;;58.5;;139.95;Aviation;Woman Shoes
8719245200985;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Aviation Nero;Aviation;1;EU;39;39;EUR;;58.5;;139.95;Aviation;Woman Shoes
8719245200954;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Aviation Nero;Aviation;1;EU;36;36;EUR;;58.5;;139.95;Aviation;Woman Shoes
8719245200992;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Aviation Nero;Aviation;1;EU;40;40;EUR;;58.5;;139.95;Aviation;Woman Shoes
8719245200961;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Aviation Nero;Aviation;1;EU;37;37;EUR;;58.5;;139.95;Aviation;Woman Shoes
8719245201012;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Aviation Nero;Aviation;1;EU;42;42;EUR;;58.5;;139.95;Aviation;Woman Shoes
8719245201005;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Aviation Nero;Aviation;1;EU;41;41;EUR;;58.5;;139.95;Aviation;Woman Shoes
8719245231637;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Mojito Bosco Nero;Mojito;6;EU;40;40;EUR;;62.5;;149.95;Mojito;Woman Shoes
8719245231606;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Mojito Bosco Nero;Mojito;6;EU;37;37;EUR;;62.5;;149.95;Mojito;Woman Shoes
8719245231590;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Mojito Bosco Nero;Mojito;6;EU;36;36;EUR;;62.5;;149.95;Mojito;Woman Shoes
8719245231613;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Mojito Bosco Nero;Mojito;6;EU;38;38;EUR;;62.5;;149.95;Mojito;Woman Shoes
8719245231620;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Mojito Bosco Nero;Mojito;6;EU;39;39;EUR;;62.5;;149.95;Mojito;Woman Shoes
8719245231644;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Mojito Bosco Nero;Mojito;6;EU;41;41;EUR;;62.5;;149.95;Mojito;Woman Shoes
8719245231651;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Mojito Bosco Nero;Mojito;6;EU;42;42;EUR;;62.5;;149.95;Mojito;Woman Shoes
8719245231682;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Mojito Brandy Nero;Mojito;3;EU;37;37;EUR;;62.5;;149.95;Mojito;Woman Shoes
8719245231675;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Mojito Brandy Nero;Mojito;3;EU;36;36;EUR;;62.5;;149.95;Mojito;Woman Shoes
8719245231699;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Mojito Brandy Nero;Mojito;3;EU;38;38;EUR;;62.5;;149.95;Mojito;Woman Shoes
8719245231729;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Mojito Brandy Nero;Mojito;3;EU;41;41;EUR;;62.5;;149.95;Mojito;Woman Shoes
8719245231736;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Mojito Brandy Nero;Mojito;3;EU;42;42;EUR;;62.5;;149.95;Mojito;Woman Shoes
8719245231705;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Mojito Brandy Nero;Mojito;3;EU;39;39;EUR;;62.5;;149.95;Mojito;Woman Shoes
8719245231712;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Mojito Brandy Nero;Mojito;3;EU;40;40;EUR;;62.5;;149.95;Mojito;Woman Shoes
8719245231798;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Mojito Indaco Nero;Mojito;4;EU;40;40;EUR;;62.5;;149.95;Mojito;Woman Shoes
8719245231811;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Mojito Indaco Nero;Mojito;4;EU;42;42;EUR;;62.5;;149.95;Mojito;Woman Shoes
8719245231767;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Mojito Indaco Nero;Mojito;4;EU;37;37;EUR;;62.5;;149.95;Mojito;Woman Shoes
8719245231750;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Mojito Indaco Nero;Mojito;4;EU;36;36;EUR;;62.5;;149.95;Mojito;Woman Shoes
8719245231774;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Mojito Indaco Nero;Mojito;4;EU;38;38;EUR;;62.5;;149.95;Mojito;Woman Shoes
8719245231781;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Mojito Indaco Nero;Mojito;4;EU;39;39;EUR;;62.5;;149.95;Mojito;Woman Shoes
8719245231804;Rupesco BV;Via Vai;;NW 17-18;winter;10;15189-02;15189-02 Mojito Indaco Nero;Mojito;4;EU;41;41;EUR;;62.5;;149.95;Mojito;Woman Shoes
8719245192327;Rupesco BV;Via Vai;;NW 17-18;winter;4;4701013-00;4701013-00 Caipirinha Nero;Caipirinha;1;EU;39;39;EUR;;71.0;;169.95;Caipirinha;Woman Shoes
8719245192303;Rupesco BV;Via Vai;;NW 17-18;winter;4;4701013-00;4701013-00 Caipirinha Nero;Caipirinha;1;EU;37;37;EUR;;71.0;;169.95;Caipirinha;Woman Shoes
8719245192334;Rupesco BV;Via Vai;;NW 17-18;winter;4;4701013-00;4701013-00 Caipirinha Nero;Caipirinha;1;EU;40;40;EUR;;71.0;;169.95;Caipirinha;Woman Shoes
8719245192341;Rupesco BV;Via Vai;;NW 17-18;winter;4;4701013-00;4701013-00 Caipirinha Nero;Caipirinha;1;EU;41;41;EUR;;71.0;;169.95;Caipirinha;Woman Shoes
8719245192358;Rupesco BV;Via Vai;;NW 17-18;winter;4;4701013-00;4701013-00 Caipirinha Nero;Caipirinha;1;EU;42;42;EUR;;71.0;;169.95;Caipirinha;Woman Shoes
8719245192310;Rupesco BV;Via Vai;;NW 17-18;winter;4;4701013-00;4701013-00 Caipirinha Nero;Caipirinha;1;EU;38;38;EUR;;71.0;;169.95;Caipirinha;Woman Shoes
8719245192297;Rupesco BV;Via Vai;;NW 17-18;winter;4;4701013-00;4701013-00 Caipirinha Nero;Caipirinha;1;EU;36;36;EUR;;71.0;;169.95;Caipirinha;Woman Shoes
8719245210182;Rupesco BV;Via Vai;;NW 17-18;winter;4;4701013-00;4701013-00 Joker Fucile;Joker;5;EU;36;36;EUR;;71.0;;169.95;Joker;Woman Shoes
8719245210212;Rupesco BV;Via Vai;;NW 17-18;winter;4;4701013-00;4701013-00 Joker Fucile;Joker;5;EU;39;39;EUR;;71.0;;169.95;Joker;Woman Shoes
8719245210243;Rupesco BV;Via Vai;;NW 17-18;winter;4;4701013-00;4701013-00 Joker Fucile;Joker;5;EU;42;42;EUR;;71.0;;169.95;Joker;Woman Shoes
8719245210199;Rupesco BV;Via Vai;;NW 17-18;winter;4;4701013-00;4701013-00 Joker Fucile;Joker;5;EU;37;37;EUR;;71.0;;169.95;Joker;Woman Shoes
8719245210236;Rupesco BV;Via Vai;;NW 17-18;winter;4;4701013-00;4701013-00 Joker Fucile;Joker;5;EU;41;41;EUR;;71.0;;169.95;Joker;Woman Shoes
8719245210205;Rupesco BV;Via Vai;;NW 17-18;winter;4;4701013-00;4701013-00 Joker Fucile;Joker;5;EU;38;38;EUR;;71.0;;169.95;Joker;Woman Shoes
8719245210229;Rupesco BV;Via Vai;;NW 17-18;winter;4;4701013-00;4701013-00 Joker Fucile;Joker;5;EU;40;40;EUR;;71.0;;169.95;Joker;Woman Shoes
8719245210311;Rupesco BV;Via Vai;;NW 17-18;winter;4;4701013-00;4701013-00 Joker Marrone;Joker;2;EU;41;41;EUR;;71.0;;169.95;Joker;Woman Shoes
8719245210267;Rupesco BV;Via Vai;;NW 17-18;winter;4;4701013-00;4701013-00 Joker Marrone;Joker;2;EU;36;36;EUR;;71.0;;169.95;Joker;Woman Shoes
8719245210274;Rupesco BV;Via Vai;;NW 17-18;winter;4;4701013-00;4701013-00 Joker Marrone;Joker;2;EU;37;37;EUR;;71.0;;169.95;Joker;Woman Shoes
8719245210281;Rupesco BV;Via Vai;;NW 17-18;winter;4;4701013-00;4701013-00 Joker Marrone;Joker;2;EU;38;38;EUR;;71.0;;169.95;Joker;Woman Shoes
8719245210328;Rupesco BV;Via Vai;;NW 17-18;winter;4;4701013-00;4701013-00 Joker Marrone;Joker;2;EU;42;42;EUR;;71.0;;169.95;Joker;Woman Shoes
8719245210298;Rupesco BV;Via Vai;;NW 17-18;winter;4;4701013-00;4701013-00 Joker Marrone;Joker;2;EU;39;39;EUR;;71.0;;169.95;Joker;Woman Shoes
8719245210304;Rupesco BV;Via Vai;;NW 17-18;winter;4;4701013-00;4701013-00 Joker Marrone;Joker;2;EU;40;40;EUR;;71.0;;169.95;Joker;Woman Shoes
